

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
002.282  002.268: event init
003.916  001.634: early init
004.351  000.436: locale set
004.811  000.459: init first window
006.797  001.986: inits 1
006.814  000.017: window checked
006.819  000.005: parsing arguments
009.028  000.253  000.253: require('vim.shared')
009.149  000.043  000.043: require('vim._meta')
009.152  000.118  000.074: require('vim._editor')
009.153  000.405  000.034: require('vim._init_packages')
009.156  001.932: init lua interpreter
009.201  000.045: expanding arguments
009.440  000.239: inits 2
009.918  000.478: init highlight
009.920  000.002: waiting for UI
011.223  001.302: done waiting for UI
011.238  000.015: clear screen
011.637  000.399: init default mappings
011.658  000.022: init default autocommands
018.360  000.592  000.592: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
020.224  000.193  000.193: sourcing /usr/local/share/nvim/runtime/indent.vim
025.272  000.512  000.512: require('packer.util')
025.459  004.892  004.380: require('packer')
025.901  000.438  000.438: require('packer.log')
026.944  000.376  000.376: require('packer.async')
027.611  000.273  000.273: require('packer.result')
027.618  000.669  000.396: require('packer.jobs')
027.623  001.694  000.649: require('packer.plugin_utils')
028.013  000.377  000.377: require('packer.snapshot')
029.394  000.361  000.361: require('mason-core.path')
029.408  000.621  000.260: require('mason.settings')
030.249  000.462  000.462: require('mason-core.functional')
030.753  000.203  000.203: require('mason-core.functional.data')
030.760  000.495  000.292: require('mason-core.functional.function')
030.989  000.213  000.213: require('mason-core.functional.relation')
031.221  000.223  000.223: require('mason-core.functional.logic')
031.240  001.829  000.437: require('mason-core.platform')
031.243  002.813  000.363: require('mason')
032.228  000.385  000.385: require('mason-core.functional.list')
032.249  000.884  000.498: require('mason.api.command')
032.454  012.003  000.905: require('packer-config')
036.686  000.514  000.514: require('gruvbox.treesitter')
036.697  001.132  000.618: require('gruvbox.util')
038.336  000.322  000.322: require('gruvbox.colors')
038.341  001.642  001.320: require('gruvbox.theme')
038.608  000.265  000.265: require('gruvbox.config')
038.612  003.495  000.456: require('gruvbox')
040.701  000.007  000.007: require('vim.F')
040.740  001.941  001.934: require('vim.diagnostic')
042.281  000.271  000.271: require('vim.treesitter.language')
042.294  001.039  000.768: require('vim.treesitter.query')
042.869  000.573  000.573: require('vim.treesitter.languagetree')
042.913  002.148  000.536: require('vim.treesitter')
043.345  000.428  000.428: require('vim.treesitter.highlighter')
044.675  009.679  001.667: sourcing /home/adri/.local/share/nvim/site/pack/packer/start/gruvbox.nvim/colors/gruvbox.lua
044.690  012.232  002.554: require('colors.gruvbox')
044.975  000.008  000.008: require('vim.keymap')
045.082  000.389  000.381: require('mappings')
046.371  000.305  000.305: require('lualine_require')
047.352  002.073  001.768: require('lualine')
054.010  000.317  000.317: require('lualine.utils.mode')
058.974  013.841  011.451: require('plugins.lualine-config')
063.009  000.439  000.439: require('plenary.bit')
063.286  000.272  000.272: require('plenary.functional')
063.321  000.022  000.022: require('ffi')
063.335  001.654  000.921: require('plenary.path')
063.343  002.229  000.575: require('plenary.strings')
063.599  000.254  000.254: require('telescope.deprecated')
064.876  000.418  000.418: require('plenary.log')
064.895  000.671  000.253: require('telescope.log')
066.172  000.648  000.648: require('plenary.job')
066.426  000.250  000.250: require('telescope.state')
066.435  001.537  000.639: require('telescope.utils')
066.442  002.840  000.633: require('telescope.sorters')
066.499  000.046  000.046: require('vim.inspect')
068.420  007.842  002.472: require('telescope.config')
070.311  000.651  000.651: require('plenary.window.border')
070.608  000.291  000.291: require('plenary.window')
070.870  000.258  000.258: require('plenary.popup.utils')
070.876  002.413  001.213: require('plenary.popup')
071.336  000.457  000.457: require('telescope.pickers.scroller')
071.635  000.295  000.295: require('telescope.actions.state')
072.013  000.374  000.374: require('telescope.actions.utils')
072.880  000.416  000.416: require('telescope.actions.mt')
072.912  000.895  000.479: require('telescope.actions.set')
073.878  000.564  000.564: require('telescope.config.resolve')
073.883  000.968  000.404: require('telescope.pickers.entry_display')
074.174  000.289  000.289: require('telescope.from_entry')
074.512  015.390  001.857: require('telescope.actions')
075.357  000.436  000.436: require('telescope._extensions')
075.362  000.847  000.411: require('telescope')
078.865  019.885  003.647: require('plugins.telescope-config')
082.776  000.983  000.983: require('nvim-treesitter.parsers')
083.149  000.368  000.368: require('nvim-treesitter.utils')
083.157  001.901  000.549: require('nvim-treesitter.ts_utils')
083.163  002.217  000.316: require('nvim-treesitter.tsrange')
083.417  000.252  000.252: require('nvim-treesitter.caching')
083.428  003.013  000.544: require('nvim-treesitter.query')
083.443  004.344  001.331: require('nvim-treesitter.configs')
084.646  000.372  000.372: require('nvim-treesitter.info')
085.212  000.559  000.559: require('nvim-treesitter.shell_command_selectors')
085.253  001.755  000.824: require('nvim-treesitter.install')
086.651  007.780  001.680: require('plugins.treesitter-config')
087.895  000.224  000.224: require('diffview.lazy')
088.129  001.170  000.946: require('diffview.actions')
089.406  000.350  000.350: require('diffview.oop')
089.421  000.671  000.321: require('diffview.events')
089.428  000.897  000.226: require('diffview.bootstrap')
089.917  000.487  000.487: require('diffview.hl')
094.419  006.286  004.901: require('diffview')
095.507  001.052  001.052: require('diffview.config')
096.982  001.469  001.469: require('diffview.utils')
100.081  013.422  003.446: require('plugins.diffview')
100.599  000.327  000.327: require('Comment')
100.767  000.163  000.163: require('Comment.config')
101.887  000.363  000.363: require('Comment.ft')
101.896  000.825  000.462: require('Comment.utils')
102.188  000.290  000.290: require('Comment.opfunc')
102.397  000.205  000.205: require('Comment.extra')
102.403  001.581  000.260: require('Comment.api')
102.670  002.582  000.512: require('plugins.comment')
102.848  000.174  000.174: require('plugins.ultisnips')
102.984  000.132  000.132: require('plugins.vimwiki')
104.560  000.454  000.454: require('dap.utils')
104.587  001.427  000.973: require('dap')
106.712  000.503  000.503: require('dapui.config')
106.719  000.914  000.411: require('dapui.util')
107.462  000.406  000.406: require('dapui.render.canvas')
107.760  000.294  000.294: require('dapui.render.loop')
107.764  001.043  000.343: require('dapui.render')
108.138  000.372  000.372: require('dapui.windows.layout')
108.144  002.834  000.505: require('dapui.windows')
108.150  003.542  000.709: require('dapui')
109.021  000.311  000.311: require('dapui.config.highlights')
109.658  000.509  000.509: require('dapui.state')
110.015  000.346  000.346: require('dapui.elements.console')
110.246  000.225  000.225: require('dapui.elements.breakpoints')
110.877  000.280  000.280: require('dapui.components.buf_breakpoints')
110.882  000.632  000.352: require('dapui.components.breakpoints')
111.138  000.249  000.249: require('dapui.elements.repl')
111.383  000.240  000.240: require('dapui.elements.scopes')
112.016  000.356  000.356: require('dapui.components.variables')
112.021  000.634  000.278: require('dapui.components.scopes')
112.195  000.170  000.170: require('dapui.elements.stacks')
112.748  000.276  000.276: require('dapui.components.frames')
112.752  000.554  000.278: require('dapui.components.threads')
112.928  000.169  000.169: require('dapui.elements.watches')
113.290  000.358  000.358: require('dapui.components.watches')
113.851  000.303  000.303: require('dapui.components.hover')
113.856  000.541  000.238: require('dapui.elements.hover')
113.931  010.943  001.036: require('plugins.dap')
114.096  000.162  000.162: require('plugins.undotree')
117.511  000.687  000.687: require('nvim-tree.notify')
117.520  000.994  000.307: require('nvim-tree.events')
118.717  000.311  000.311: require('nvim-tree.log')
120.051  000.385  000.385: require('nvim-tree.iterators.node-iterator')
120.091  001.368  000.984: require('nvim-tree.utils')
120.487  000.393  000.393: require('nvim-tree.git.utils')
120.851  000.361  000.361: require('nvim-tree.git.runner')
121.184  000.329  000.329: require('nvim-tree.watcher')
121.482  000.294  000.294: require('nvim-tree.explorer.node')
121.488  003.576  000.520: require('nvim-tree.git')
121.792  000.302  000.302: require('nvim-tree.explorer.watch')
122.372  000.284  000.284: require('nvim-tree.explorer.node-builders')
122.719  000.343  000.343: require('nvim-tree.explorer.sorters')
123.041  000.318  000.318: require('nvim-tree.explorer.filters')
124.007  000.609  000.609: require('nvim-tree.view')
124.013  000.968  000.359: require('nvim-tree.live-filter')
124.016  002.220  000.306: require('nvim-tree.explorer.explore')
124.397  000.379  000.379: require('nvim-tree.explorer.reload')
124.402  006.881  000.404: require('nvim-tree.explorer')
124.406  008.117  000.242: require('nvim-tree.core')
124.794  000.386  000.386: require('nvim-tree.diagnostics')
125.399  000.257  000.257: require('nvim-tree.modified')
125.404  000.606  000.350: require('nvim-tree.renderer.components.modified')
125.724  000.318  000.318: require('nvim-tree.renderer.components.padding')
126.015  000.280  000.280: require('nvim-tree.renderer.components.icons')
126.323  000.304  000.304: require('nvim-tree.renderer.components.full-name')
126.608  000.282  000.282: require('nvim-tree.renderer.help')
126.965  000.353  000.353: require('nvim-tree.renderer.components.git')
127.469  000.500  000.500: require('nvim-tree.renderer.builder')
127.888  000.415  000.415: require('nvim-tree.marks')
127.895  012.025  000.464: require('nvim-tree.renderer')
128.355  000.454  000.454: require('nvim-tree.actions.tree-modifiers.collapse-all')
128.692  000.333  000.333: require('nvim-tree.actions.root.dir-up')
129.001  000.305  000.305: require('nvim-tree.actions.root.change-dir')
129.383  000.378  000.378: require('nvim-tree.actions.reloaders.reloaders')
129.773  000.386  000.386: require('nvim-tree.actions.finders.find-file')
129.776  014.408  000.526: require('nvim-tree.lib')
130.092  000.313  000.313: require('nvim-tree.colors')
130.360  000.263  000.263: require('nvim-tree.legacy')
130.885  000.522  000.522: require('nvim-tree.actions.fs.copy-paste')
131.500  000.280  000.280: require('nvim-tree.actions.tree-modifiers.expand-all')
131.769  000.265  000.265: require('nvim-tree.actions.tree-modifiers.toggles')
